type,title,overview,tmdb_id,imdb_id,provider,release_date,tmdb_rating,popularity,poster_path,genres,imdb_rating,imdb_votes
Movie,Ted 2,"Newlywed couple Ted and Tami-Lynn want to have a baby, but in order to qualify to be a parent, Ted will have to prove he's a person in a court of law.",214756,tt2637276,Hulu,2015-06-25,6.316,11.3969,/38C91I7Xft0gyY7BITm8i4yvuRb.jpg,"Comedy, Fantasy",6.3,"248,946"
Movie,Presence,"A couple and their children move into a seemingly normal suburban home. When strange events occur, they begin to believe there is something else in the house with them. The presence is about to disrupt their lives in unimaginable ways.",1140535,tt28249919,Hulu,2025-01-17,6.031,11.3531,/hZ8dTeBzigV5SVgwG1ikSROAFiS.jpg,"Horror, Thriller, Drama",6.1,"26,811"
Movie,The Witch: Part 2. The Other One,"A girl wakes up in a huge secret laboratory, then accidentally meets another girl who is trying to protect her house from a gang. The mystery girl overthrows the gang with her unexpected powers, and laboratory staff set out to find her.",615173,tt13721828,Hulu,2022-06-15,7.3,11.297,/9YTuscJXmr9Iua62amCgGSU8PDW.jpg,"Action, Mystery, Thriller, Science Fiction",6.3,"8,272"
Movie,Arcadian,"In the near future, on a decimated Earth, Paul and his twin sons face terror at night when ferocious creatures awaken. When Paul is nearly killed, the boys come up with a plan for survival, using everything their father taught them to keep him alive.",1051896,tt22939186,Hulu,2024-04-12,6.114,11.2352,/h4T8Xeydkw53h9uIbulYsss25UF.jpg,"Action, Horror, Thriller, Science Fiction",5.5,"24,116"
Movie,"The Gangster, the Cop, the Devil","After barely surviving a brutal attack by a sadistic serial killer, crime boss Jang Dong-su is left humiliated. Determined to catch the killer known as K, he forms an uneasy alliance with Jung Tae-seok, a relentless and incorruptible detective who often disrupts his illegal business. However, while Jang Dong-su wants K dead, Jung Tae-suk is determined to bring him to justice. With a deal in place—whoever finds K first will decide his fate—the hunt begins, blurring the lines between crime and law.",581528,tt10208198,Hulu,2019-05-15,7.8,11.0596,/oHlM4abRm6BzrRcz9Nup1uidw9H.jpg,"Crime, Action, Thriller",7.0,"26,494"
Movie,Babylon,"A tale of outsized ambition and outrageous excess, tracing the rise and fall of multiple characters in an era of unbridled decadence and depravity during Hollywood's transition from silent films to sound films in the late 1920s.",615777,tt10640346,Hulu,2022-12-22,7.377,10.9542,/wjOHjWCUE0YzDiEzKv8AfqHj3ir.jpg,"Drama, Comedy",7.1,"195,071"
Movie,Deep Water,A well-to-do husband who allows his wife to have affairs in order to avoid a divorce becomes a prime suspect in the disappearance of her lovers.,619979,tt2180339,Hulu,2022-03-17,5.824,10.8769,/6yRMyWwjuhKg6IU66uiZIGhaSc8.jpg,"Drama, Mystery, Thriller",5.5,"62,435"
Movie,E.T. the Extra-Terrestrial,"An alien is left behind on Earth and saved by the 10-year-old Elliot who decides to keep him hidden in his home. While a task force hunts for the extra-terrestrial, Elliot, his brother, and his little sister Gertie form an emotional bond with their new friend, and try to help him find his way home.",601,tt0083866,Hulu,1982-06-11,7.514,10.8465,/an0nD6uq6byfxXCfk6lQBzdL2J1.jpg,"Science Fiction, Adventure, Family, Fantasy",7.9,"453,701"
Movie,Pixels,Video game experts are recruited by the military to fight 1980s-era video game characters who've attacked New York.,257344,tt2120120,Hulu,2015-07-16,5.755,10.8268,/d26S5EfVXLNxRXqyFy1yyl3qRq3.jpg,"Action, Comedy, Science Fiction, Fantasy",5.6,"170,851"
Movie,My Hero Academia: You're Next,"In a society devastated by the effects of an all-out war between heroes and villains, a mysterious giant fortress suddenly appears, engulfing towns and people one after another. Then, a man reminiscent of All Might, the 'symbol of peace', stands in front of Izuku and his friends...",1159311,tt32176689,Hulu,2024-08-02,7.068,10.7932,/8rdB1wkheEMMqcY8qLAKjCMPcnZ.jpg,"Animation, Action, Adventure, Science Fiction",7.0,"2,593"
